track_name,track_id,album_name,album_id,artist_name,artist_id,artist_popularity,track_popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,energy_danceability,acoustic_instrumental_diff,mood_index
Moonshine Lullaby,0plvY9RPVXGefRAniW2SrU,Annie Get Your Gun (Original Broadway Cast),6sA4qRObygUvsww3iBrSyu,Ethel Merman,4Kgu9tJgtNXTWMjefKahs9,25.0,0.0,2009-03-16,0.542,0.355,10.0,-5.901,0.0,0.049,0.834,0.0,0.105,0.346,104.336,191173.0,0.19241,0.834,0.3505
Tú y Yo,68PrMitbgFxwXBTi5avkgw,Silueta,1pmUVsO9cAYP6OmJNho4I0,Ana Gabriel,41ESHLayJ5sDKjAOv6cMhe,74.0,32.0,1992-06-30,0.663,0.523,6.0,-9.745,1.0,0.034,0.285,5.36e-06,0.13,0.449,139.904,244027.0,0.34674900000000003,0.28499463999999997,0.486
Hold On to Me,3d2FByWB0LRdhACc2kv3xU,Mac Powell,3JddkbZtYgmFHw6LMNCSXB,Mac Powell,5X77nNxT45eR0OshjmAvKa,50.0,22.0,2012-08-21,0.408,0.801,9.0,-4.245,1.0,0.0401,0.000577,0.00714,0.307,0.628,152.033,199187.0,0.326808,-0.006562999999999999,0.7145
Base Guardians,5IfV5690kzMzvr2BKHGefl,Epic Underscore: Fight the Darkness,6m4HbImzHwWmGVxyIGjJlB,Epic Score,4Kyb02r7dR3H1PH7pYkb8X,52.0,2.0,2016-10-28,0.568,0.881,7.0,-10.395,1.0,0.0516,0.574,0.938,0.112,0.313,158.034,146481.0,0.500408,-0.364,0.597
Pathways,06GWHKM7Z6LuoeIrcXUBgj,Taurus,27bZK5n13Hoz2n3OscFxJf,Ocote Soul Sounds,4khzV3qBWcUKdc50QOv8Tc,40.0,37.0,2016-02-27,0.73,0.874,10.0,-8.56,0.0,0.0418,0.0189,0.892,0.223,0.96,101.994,157667.0,0.63802,-0.8731,0.917
Abstinência (Participação especial Filipe Ret),1HKJaE8WxZoJElKg5FHUJj,A danada sou eu,4JZQXCD2TwUZmxSLlMDRoX,Ludmilla,3CDoRporvSjdzTrm99a3gi,78.0,33.0,2016-10-21,0.684,0.806,8.0,-5.786,0.0,0.102,0.279,0.0,0.131,0.754,93.021,206207.0,0.5513040000000001,0.279,0.78
Where You From,05NypH2IadQcFmJfyGiSH6,Street Unity,0Mkvp5rkfntnFPj9Z0UQI0,Mr. Criminal,1RbUvxpoXRKRcxVtcQ8YyV,43.0,12.0,2016-03-18,0.792,0.671,9.0,-6.004,1.0,0.243,0.00221,4.49e-05,0.0981,0.656,96.495,240554.0,0.531432,0.0021651,0.6635
The Silent Elk Of Yesterday,4CX6lMcxJux144mcpAF6GJ,Buck Fever,5s3ETtgAx4HWqm7dWBoktN,Estradasphere,1xieC6GkoG1VsMEcD3A07K,17.0,9.0,,0.227,0.918,5.0,-9.045,1.0,0.129,0.000388,0.825,0.177,0.0547,119.967,377653.0,0.20838600000000002,-0.8246119999999999,0.48635
Love's Still Alright,2mEdI1Ywo9mRp4n9lh3S8x,Exposed,2Y8xp5J3cx3TNJV5Bopq6g,Chanté Moore,77OlE8SkEHDkJczfswzDFo,42.0,14.0,2000-01-01,0.523,0.602,8.0,-4.338,1.0,0.0423,0.38,0.0,0.064,0.332,145.853,358227.0,0.314846,0.38,0.46699999999999997
Don't Care,6xCi6ML0Kh9cXNE9fmmZvd,Dual,5oCsl8zpGosGVO997VmNdF,Oliver Schories,0iTjLBepeGaLgZS18kxgRq,46.0,1.0,2013-10-21,0.696,0.474,1.0,-11.59,1.0,0.0473,0.0595,0.935,0.113,0.2,120.008,454000.0,0.329904,-0.8755000000000001,0.33699999999999997
"Jesus, My Savior",2YPEv47HMFQdIchaCS99Rb,"Lamb of God: a sacred work for choir, orchestra and soloists",76dLKbyXuvW9LAY53LAhmW,"Rob Gardner, Spire Chorus & London Symphony Orchestra",39ib8pqVcqDu3hucdrKaQn,19.0,2.0,2010-09-10,0.197,0.0941,8.0,-21.118,1.0,0.0396,0.933,0.00315,0.165,0.187,74.38,217053.0,0.0185377,0.9298500000000001,0.14055
War Is Hell,26ilk4hFPAOP4QkCSORDY0,The Pacific (Music From the HBO Miniseries),0NH1WrtzRBlZS1VJX2XnXr,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,78.0,19.0,2010-03-09,0.165,0.0356,0.0,-28.034,0.0,0.0459,0.955,0.979,0.0875,0.0337,77.728,135853.0,0.005874,-0.02400000000000002,0.03465
Coprolalia,25GFxxxBc3DH2ft8MJ2HFv,Sound As Ever,2azj62n7MH5r8ikwa0c6ay,You Am I,7GvCdRq4iHNQDsGlPWOycw,36.0,14.0,,0.322,0.946,9.0,-8.082,0.0,0.107,0.0036,0.0867,0.165,0.305,138.399,240800.0,0.304612,-0.0831,0.6255
Low-Fi,7IuuyUbxguzAx06r5KMIyf,Graph Dreams,5Uqf1W3p1Od6MRmjlKnXY3,HI-FI CAMP,5cu4bEi3Pe9SihrGOgCBLW,45.0,30.0,2017-01-18,0.0,0.292,9.0,-50.487,0.0,0.0,0.962,0.999,0.313,0.0,0.0,203680.0,0.0,-0.03700000000000003,0.146
I'm Holding My Own,1wzWvxsjAYpSGW6QAx7CDV,On The Road,1DjLUUP0wpN4uxFoJcXDMx,Lee Roy Parnell,3bW6mQczkt1r8tnWIDeBVJ,34.0,23.0,1993-02-18,0.714,0.553,11.0,-10.44,1.0,0.0272,0.54,3.1e-05,0.0771,0.57,104.561,257533.0,0.394842,0.539969,0.5615
Can't Resist (feat. Laura Vall),0RANfKaBkvoeqvHvJbrGWX,Monaco: What's Yours Is Mine,041mRUBq1cvVPQwS1AhJIN,Austin Wintory,3Rwlus4QnnBSnTe8pJV0rw,50.0,6.0,2013-01-25,0.582,0.0835,7.0,-17.434,0.0,0.0461,0.965,3.48e-05,0.139,0.282,74.408,123768.0,0.048597,0.9649652,0.18275
Gates of Dis,1ec3mADffURoGenuAKUYp0,Mander Salis,27jDdKc3T9zWBUdUSQQMXG,The Snake The Cross The Crown,7ksrFspk9nkPA9GJrwNZTe,11.0,3.0,,0.258,0.861,9.0,-5.858,0.0,0.0608,0.00112,1.54e-05,0.189,0.169,156.122,232133.0,0.222138,0.0011045999999999999,0.515
Smithsonian Liver,2YiYzKmBhLTKsSIvYnay4R,"If It's Cool with You, It's Cool with Me",2Xkfh86aoHJXqUh3TfOZOp,Hot Rod Circuit,209McJAEbNbvQXsnuNJZJw,29.0,5.0,2000-09-14,0.262,0.936,6.0,-4.089,0.0,0.0598,0.000405,0.0,0.239,0.593,92.86,116453.0,0.24523200000000003,0.000405,0.7645
